Row;ALPL;C3a;CCL3*;CD274;CHIT1;CST7;GZMB;HBA1.HBB;HGF;IL18R1;IL18RAP;LAG3;LCN2;LTF;MMP8;OSM;PGLYRP1;PLXNC1**;RETN;S100A9;SLPI;CKM;HP;IL6;MPO;SERPINA1;
SOMAScan vs RNA-Seq (Bacteria vs Other);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1
SOMAScan vs RBM (Bacteria vs Virus);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
